,C1,C2,C3,C4,C5,C6,cluster
89,3.6667,4.0,1.6667,1.0,2.3333,3.3333,1
90,4.0,3.0,2.3333,4.3333,1.3333,2.3333,2
91,4.3333,3.6667,2.0,3.6667,3.3333,2.3333,2
92,4.3333,4.3333,1.3333,2.3333,4.0,3.6667,1
93,2.6667,1.3333,4.3333,4.6667,1.6667,1.6667,2
94,3.6667,4.0,3.0,2.6667,3.0,4.0,1
95,2.6667,4.0,3.0,1.0,2.6667,3.3333,1
96,1.6667,2.0,4.0,1.3333,1.6667,2.3333,0
97,3.3333,2.0,4.0,3.6667,2.0,1.0,2
98,4.0,4.0,3.3333,2.6667,2.0,4.0,1
99,2.0,2.0,4.0,2.3333,1.3333,1.6667,0
100,3.6667,4.0,1.0,2.0,3.0,3.3333,1
101,3.3333,3.6667,2.3333,1.3333,2.6667,3.6667,1
102,2.3333,1.0,3.6667,1.3333,3.0,1.0,0
103,2.6667,3.3333,2.3333,1.6667,2.0,3.3333,1
104,3.0,2.6667,1.3333,3.3333,3.3333,1.3333,2
105,1.0,1.0,4.6667,1.3333,4.0,1.3333,0
106,3.6667,3.6667,3.3333,2.6667,1.3333,3.6667,1
107,3.0,3.0,3.6667,3.0,2.0,2.3333,2
108,2.6667,2.3333,3.6667,1.6667,1.6667,3.0,0
109,3.0,4.0,1.3333,1.0,1.6667,4.0,1
110,3.3333,4.3333,2.6667,2.3333,2.3333,4.6667,1
111,3.0,1.3333,4.0,2.6667,2.0,2.0,0
112,1.6667,1.3333,3.6667,3.6667,2.0,2.0,0
113,3.6667,2.0,2.0,4.0,2.6667,1.3333,2
114,3.0,4.0,1.3333,1.0,2.6667,3.6667,1
115,2.3333,2.0,2.6667,2.0,4.3333,2.0,2
116,3.0,3.3333,1.0,4.0,4.3333,2.3333,2
117,2.0,1.6667,3.3333,1.3333,2.0,2.3333,0
118,1.6667,2.6667,2.0,1.0,2.6667,3.3333,1
119,3.0,1.3333,4.6667,3.6667,2.6667,1.3333,2
120,3.3333,1.0,4.3333,4.0,3.3333,1.3333,2
121,2.0,2.3333,2.3333,2.3333,4.6667,1.6667,2
122,4.3333,4.3333,1.0,2.0,1.6667,4.0,1
123,2.6667,2.0,3.0,4.3333,3.6667,1.0,2
124,3.0,1.6667,4.3333,3.0,2.6667,2.3333,2
125,2.0,3.3333,3.3333,1.6667,1.6667,1.6667,0
126,1.0,1.0,1.0,1.0,1.0,1.0,0
127,3.3333,3.6667,1.3333,1.6667,2.6667,3.0,1
128,1.3333,2.0,3.6667,2.3333,2.3333,1.6667,0
129,1.0,1.0,1.0,1.0,1.0,1.0,0
130,3.6667,4.6667,1.6667,2.6667,2.0,3.6667,1
131,3.3333,3.6667,1.0,2.3333,4.3333,4.0,1
132,2.6667,3.0,2.0,1.6667,1.3333,4.3333,1
133,3.3333,3.6667,1.6667,2.0,2.0,4.3333,1
134,4.0,4.0,1.0,1.3333,3.0,4.6667,1
135,2.6667,2.0,4.0,2.0,2.0,2.0,0
136,4.0,3.3333,2.0,5.0,2.3333,1.0,2
